ab_speed,total_force,FlexXForce,LatXForce
0.00105,79.67702543,5.410070027,4.746838467
0.00043,78.18658246,5.335452387,4.694713344
0.00301,77.082438,5.3148341,4.697249607
0.0003,76.00668644,5.266503303,4.669090748
0.00101,75.0972715,5.217758424,4.630723053
0.0027,74.20842844,5.166390788,4.583409374
0.00177,73.15136134,5.098649885,4.52126619
0.00176,71.89849555,5.016358035,4.44692195
0.00195,70.9923458,4.962364971,4.398401776
0.00073,70.10823844,4.920897256,4.370407368
0.00242,69.05458771,4.884921535,4.365147653
0.00206,69.04272261,4.915151423,4.413210829
0.00174,69.03086132,4.939848436,4.45290474
0.00174,68.97161195,4.960438331,4.489362222
0.00148,68.67677539,4.965330861,4.510415901
0.00028,67.23498586,4.889328172,4.456402098
0.00154,65.83822695,4.816724684,4.400166222
0.00022,64.76138757,4.76384767,4.362391828
0.00019,63.70539435,4.716747398,4.334132799
0.00162,62.67026772,4.645746946,4.266717167
0.00165,61.65681968,4.57493602,4.200062557
0.00166,60.85313315,4.52017073,4.147323584
0.00219,60.37678105,4.490221207,4.117515337
0.0016,60.36131888,4.495107417,4.119358207
0.00135,60.34586288,4.501197912,4.12548457
0.00099,60.26867571,4.511713064,4.144013873
0.00134,59.88507965,4.502160288,4.146682455
0.00195,58.45579918,4.419842976,4.086294186
0.00267,57.77850631,4.401566611,4.089736012
0.00277,56.96547238,4.37266966,4.084025611
0.00141,56.38713734,4.344628932,4.06889583
0.00138,55.82049009,4.317156704,4.054298016
0.00211,55.12475858,4.289257465,4.046598278
0.00038,54.64298841,4.262153096,4.025221098
0.0008,54.16984346,4.236623457,4.004614017
0.00125,53.59586859,4.204595891,3.977885367
0.00261,53.31578573,4.190620758,3.961256248
0.00255,53.29901283,4.19569829,3.962888202
0.00152,53.28225084,4.198641366,3.963453511
0.00146,53.1986043,4.197369879,3.960050905
0.00177,52.78445274,4.173138834,3.937509037
0.00042,52.1856094,4.144059242,3.918408667
0.00003,51.69406145,4.127253866,3.913447228
0.0024,51.21284499,4.111367196,3.919319027
0.00331,50.74166541,4.103985898,3.940952927
0.002,50.28026616,4.086780033,3.941972867
0.00117,49.82823829,4.068973939,3.93996863
0.00018,49.44911741,4.056805592,3.940056226
0.00034,48.57876481,4.004833371,3.900729078
0.00172,47.79648587,3.951335487,3.850245919
0.0009,47.7726957,3.95940102,3.860463767
0.00147,47.41887001,3.934343645,3.834526923
0.002,46.4302163,3.85742237,3.756854522
0.00175,45.67690733,3.799405152,3.697865387
0.00161,45.00524632,3.748937018,3.647270167
0.00099,44.35237795,3.70475413,3.607223251
0.00133,43.71785731,3.668802585,3.584864299
0.00138,43.3597237,3.655224708,3.584374919
0.00339,43.3441707,3.679920092,3.632154816
0.00218,43.11223982,3.676611812,3.643674061
0.00188,42.25675466,3.617178199,3.597571065
0.00159,41.73692591,3.585201936,3.576145023
0.00126,41.23334671,3.554314486,3.555757654
0.00039,40.71404329,3.525021868,3.53450824
0.00235,40.22749915,3.491746926,3.499189014
0.00119,39.73454626,3.454521452,3.461157121
0.00144,39.7019323,3.455259168,3.459904294
