ab_speed,total_power,flexionXPower,lateralXPower
0.0008,0.0751301,0.016706392,0.029082688
0.00187,0.08163914,0.018234012,0.03179267
0.00059,0.08782892,0.019651802,0.034285623
0.00142,0.09130444,0.020460042,0.035689268
0.00134,0.09148776,0.020519511,0.035778106
0.00139,0.09389992,0.0210815,0.036734405
0.0017,0.09696863,0.021792115,0.037949684
0.00152,0.09764445,0.021970165,0.038244621
0.00327,0.09703502,0.021950074,0.03846082
0.00347,0.09556216,0.021689471,0.038207527
0.00326,0.0935673,0.021297308,0.037696403
0.00034,0.09127353,0.020866948,0.037058839
0.00162,0.08884898,0.020386071,0.036241284
0.0027,0.08638658,0.019851954,0.035254631
0.00167,0.08398373,0.019363546,0.034418947
0.00149,0.08193654,0.018970231,0.033855188
0.00264,0.08189304,0.019018691,0.034079806
0.00338,0.08124852,0.018912561,0.0340278
0.00331,0.07853208,0.01832234,0.033092707
0.00013,0.07781555,0.018172546,0.032835988
0.00218,0.07714262,0.018046407,0.032582098
0.00127,0.07652639,0.017919341,0.032338639
0.0016,0.07602066,0.017817899,0.032133546
0.00126,0.07552393,0.017714969,0.031931342
0.00085,0.07483283,0.017571249,0.031667784
0.00112,0.07421553,0.017464428,0.031536203
0,0.07353191,0.017338047,0.031336647
0.00048,0.07279587,0.017193762,0.03111016
0.00048,0.07196491,0.017026429,0.030839445
0.00007,0.07106401,0.016846613,0.030535216
0.0013,0.07020439,0.016661645,0.030243713
0.00158,0.06928223,0.016461358,0.029921327
0.00149,0.06794693,0.016160786,0.029408446
0.00149,0.06669176,0.015875657,0.028926632
0.00122,0.06531953,0.015566511,0.028390698
0.00157,0.06385768,0.015230969,0.027758936
0.00228,0.06244766,0.014914186,0.027148213
0.00119,0.06096748,0.014568849,0.026506022
0.00109,0.05940095,0.014205123,0.025830225
0.001,0.05847823,0.01400275,0.025453228
0.00104,0.05842076,0.014015085,0.02550253
0.00033,0.05836335,0.014022169,0.025526895
0.00033,0.05807694,0.013975408,0.025449369
0.00009,0.05665654,0.013656386,0.024872119
0.00009,0.05243263,0.012653487,0.02305053
0.00008,0.05103994,0.012333351,0.022469561
0.00022,0.04913413,0.011890387,0.021669034
0.0012,0.04744634,0.011490422,0.020953605
0.0013,0.04576064,0.011089338,0.020236557
0.0013,0.04436612,0.010757345,0.019645645
0.00119,0.04297254,0.010427125,0.019052617
0.00004,0.04132185,0.010031206,0.018330419
0.00173,0.03967951,0.009642264,0.017603843
0.00114,0.03829956,0.009312919,0.016992306
0.00112,0.03692466,0.008983546,0.016382829
0.00088,0.03557389,0.008661269,0.015787928
0.00013,0.03389326,0.008263436,0.015063551
0.00046,0.0325881,0.007953962,0.014502538
0.0002,0.03129513,0.00764537,0.013941992
0.00009,0.03003245,0.007344277,0.013393622
0.00007,0.02846234,0.006967943,0.012706811
0.00014,0.02727082,0.006682335,0.012185494
0,0.02609871,0.006400954,0.011672115
0.00047,0.02496324,0.006128603,0.011178541
0.00033,0.02352061,0.005779683,0.010544782
0.00083,0.02246144,0.005523428,0.010081713
0.0011,0.02142942,0.005272519,0.00962981
0.0013,0.02044097,0.005031602,0.009196492
0.00135,0.02009321,0.004948244,0.009050926
0.00066,0.02003792,0.004936418,0.009031417
0.0001,0.01998265,0.004923249,0.009007143
0.00075,0.01970665,0.004857009,0.008883575
0.0021,0.01834906,0.004528558,0.008275097
0.0007,0.01706355,0.004216248,0.007708536
0.00109,0.01612476,0.003989683,0.007299746
0.00046,0.01522806,0.003771558,0.006903465
0.00044,0.01436138,0.003560113,0.006519624
0.0008,0.01354139,0.003360169,0.006157786
0.00047,0.01275847,0.003168744,0.005809719
0.00048,0.01186989,0.002950439,0.00541237
0.00046,0.01123462,0.002794791,0.005129351
0.00017,0.01064859,0.002651148,0.004867713
0.00051,0.00993354,0.002474899,0.004547359
0.00047,0.0093891,0.002340512,0.004299956
0.00079,0.00888885,0.002217001,0.004071359
0.00038,0.00845335,0.002109137,0.003872367
0.00002,0.00806136,0.002011334,0.003692915
0,0.00773381,0.001929609,0.003543002
0.00007,0.00744845,0.001858744,0.003412827
0.00032,0.00722614,0.001804558,0.003313476
0.00061,0.00704418,0.001761006,0.003235805
0.00019,0.00692311,0.001731512,0.003181148
0.00014,0.00684006,0.001711657,0.003144465
0.00033,0.00681526,0.001706517,0.003135914
0.00024,0.00682573,0.001709901,0.003141408
0.00003,0.00689154,0.001727156,0.003172624
0.00047,0.00698951,0.001753115,0.003220401
0.00054,0.00701857,0.001761501,0.003233989
0.00028,0.00702408,0.001763982,0.003237225
0.00009,0.00702982,0.00176558,0.003240244
0.00036,0.00706047,0.001773278,0.003255222
0.00001,0.00719195,0.0018063,0.003316045
0.00002,0.00724104,0.001818791,0.003338653
0.00016,0.00723046,0.001816134,0.003333545
0.00079,0.0072045,0.001810096,0.003320453
0.00276,0.00720103,0.001811154,0.003315664
0.00034,0.00725495,0.00182585,0.003340825
0.00042,0.00740647,0.001865141,0.00341136
0.00011,0.00766157,0.001930922,0.003530404
0.00089,0.00806381,0.002033738,0.003719668
0.00147,0.00860518,0.002171812,0.003974727
0.00145,0.00932609,0.0023548,0.004313432
0.00047,0.01020755,0.002579189,0.004721733
0.00028,0.01128433,0.00285202,0.005222061
0.00027,0.01253194,0.003168742,0.005801328
0.0002,0.01397671,0.003534369,0.006471236
0.00006,0.01559424,0.003943403,0.00722043
0.00013,0.01740065,0.0044002,0.008057264
0.00005,0.01989482,0.005030915,0.009212245
0.00005,0.02211932,0.005593931,0.01024198
0,0.02449405,0.006194495,0.011341559
0.00008,0.02703526,0.006837162,0.012519086
0.00038,0.03065403,0.007751657,0.014196659
0.00188,0.03390199,0.008570715,0.015714927
0.00109,0.0372938,0.009425695,0.017293377
0.00046,0.03791066,0.009581601,0.01757915
0.00006,0.0380245,0.009611223,0.017625201
0.00067,0.03813825,0.009641678,0.017662656
0.00148,0.04158862,0.010519535,0.019232598
0.00011,0.04705114,0.011901239,0.021744228
0.00012,0.05885468,0.014886857,0.027179516
0.00001,0.06306768,0.015953913,0.029108796
0.00001,0.07435077,0.0188098,0.034295677
0.00118,0.07834413,0.019828818,0.036104098
0.00048,0.08368028,0.02118313,0.038552534
0.00036,0.08485626,0.021484613,0.039086204
0.00016,0.08545093,0.021637085,0.039356486
0.00005,0.08472914,0.021456212,0.039022547
0.00014,0.08323511,0.021076016,0.038333577
0.00086,0.08320029,0.021061624,0.038322847
0.00194,0.08299426,0.020998347,0.038230595
0.0019,0.08218032,0.020783235,0.037845468
0.00045,0.07864298,0.019899187,0.036184972
0.00005,0.07784646,0.019704597,0.03579393
0.00003,0.07548618,0.01911559,0.034684596
0.00022,0.07456055,0.018887851,0.034237621
0.00021,0.07305227,0.018513928,0.03352251
0.00017,0.07232663,0.018338103,0.033170048
0.00072,0.0709048,0.017987106,0.03250466
0.00132,0.07034597,0.017859483,0.032233771
0.00131,0.06907985,0.01754884,0.031643821
0.00139,0.06857956,0.017434002,0.031405416
0.00057,0.06770699,0.017216717,0.031001751
0.00014,0.06766454,0.017207434,0.030977759
0.00102,0.06764242,0.017200298,0.030960202
0.00305,0.06759022,0.017182496,0.030914515
0.00187,0.06791657,0.017265459,0.031043085
0.00111,0.06900725,0.017548892,0.031513245
0.00057,0.07306621,0.018597425,0.033337318
0.00134,0.07589847,0.019343744,0.034590573
0.00038,0.08283295,0.02112589,0.03770516
0.00013,0.08677223,0.02215189,0.039453411
0.00032,0.0968839,0.024757079,0.043996379
0.00112,0.10204758,0.026097085,0.046314522
0.00135,0.11342387,0.029024128,0.051451553
0.00183,0.11958487,0.03062471,0.054223011
0.00075,0.13269611,0.033994246,0.060156717
0.00084,0.13880492,0.035571609,0.062908391
0.00003,0.1514835,0.038824139,0.068646454
0.00091,0.15800855,0.040499992,0.071568641
0.0021,0.17211974,0.044132281,0.077873581
0.00264,0.1779259,0.045640876,0.080368743
0.00034,0.18694424,0.047991805,0.084352218
