speed,difference_flex,difference_lateral,sterm_mast,sterm_mast_acc,sterm_mast_L,sterm_mast_L_acc
-1E-04,0.09738,0.104834,0.00529645,0.236301826,0,0.218729757
0.00106,0.09752,0.104963,0.00518491,0.241486736,0,0.218729757
0.00123,0.09763,0.105044,0.005018184,0.24650492,0,0.218729757
0.00167,0.09776,0.105111,0.004715521,0.251220441,0,0.218729757
0.00129,0.09786,0.105163,0.004358497,0.255578938,0,0.218729757
0.00117,0.09798,0.105251,0.004147841,0.259726779,0,0.218729757
0.00079,0.09817,0.105533,0.004142217,0.263868996,0,0.218729757
-0.00245,0.09853,0.106439,0.004059465,0.267928461,0,0.218729757
-0.00122,0.09867,0.106846,0.003655795,0.271584256,0,0.218729757
-0.00166,0.09885,0.107337,0.00351487,0.275099126,0,0.218729757
-0.00193,0.09903,0.107881,0.003530524,0.27862965,0,0.218729757
-0.0016,0.09919,0.108329,0.003657333,0.282286983,0,0.218729757
-0.00147,0.09935,0.108778,0.003860964,0.286147947,0,0.218729757
-0.0008,0.09956,0.109244,0.004090202,0.290238149,0,0.218729757
0.00187,0.1,0.109902,0.004321142,0.29455929,0,0.218729757
0.00059,0.10018,0.110167,0.004543761,0.299103051,0,0.218729757
0.00142,0.10033,0.110312,0.004669056,0.303772107,0,0.218729757
0.00134,0.10042,0.110365,0.004675713,0.30844782,0,0.218729757
0.00139,0.10052,0.110404,0.004766914,0.313214734,0,0.218729757
0.0017,0.10062,0.110447,0.004897124,0.318111858,0,0.218729757
0.00152,0.10074,0.110535,0.004939483,0.323051341,0,0.218729757
-0.00327,0.10128,0.111858,0.004931214,0.327982555,0,0.218729757
-0.00347,0.10162,0.112834,0.004885749,0.332868304,0,0.218729757
-0.00326,0.10191,0.113698,0.004815673,0.337683977,0,0.218729757
-0.00034,0.10236,0.114584,0.004730104,0.34241408,0,0.218729757
0.00162,0.10273,0.115114,0.004636436,0.347050516,0,0.218729757
0.0027,0.10289,0.115172,0.004539143,0.351589659,0,0.218729757
0.00167,0.10323,0.115659,0.004442871,0.356032529,0,0.218729757
-0.00149,0.10366,0.116607,0.004360161,0.36039269,0,0.218729757
-0.00264,0.10398,0.117443,0.0043584,0.36475109,0,0.218729757
-0.00338,0.10422,0.118194,0.004332346,0.369083436,0,0.218729757
-0.00331,0.10446,0.118922,0.00422903,0.373312466,0,0.218729757
0.00013,0.10456,0.119086,0.004204839,0.377517305,0,0.218729757
0.00218,0.10474,0.119196,0.0041828,0.381700105,0,0.218729757
0.00127,0.10484,0.119258,0.004163638,0.385863743,0,0.218729757
0.0016,0.10494,0.11929,0.004147693,0.390011436,0,0.218729757
0.00126,0.10502,0.119319,0.0041321,0.394143536,0,0.218729757
0.00085,0.10513,0.119427,0.004109405,0.398252941,0,0.218729757
-0.00112,0.10536,0.11992,0.004088212,0.402341153,0,0.218729757
0,0.10557,0.120269,0.004063125,0.406404278,0,0.218729757
-0.00048,0.10575,0.120607,0.004034866,0.410439144,0,0.218729757
-0.00048,0.10593,0.120938,0.004001037,0.414440181,0,0.218729757
-7E-05,0.10614,0.121263,0.003962969,0.41840315,0,0.218729757
