ab_speed,difference_flex,difference_lateral,total_power
0.00089,0.11292,0.130179,0.00806381
0.00147,0.113,0.130354,0.00860518
0.00145,0.11305,0.130527,0.00932609
0.00047,0.11313,0.130544,0.01020755
0.00028,0.11316,0.1306,0.01128433
0.00027,0.11321,0.130643,0.01253194
0.0002,0.11322,0.130665,0.01397671
6E-05,0.11322,0.13067,0.01559424
0.00013,0.11322,0.130677,0.01740065
0.00005,0.11322,0.130678,0.01989482
5E-05,0.11323,0.130674,0.02211932
0,0.11323,0.130674,0.02449405
0.00008,0.11323,0.130683,0.02703526
0.00038,0.11322,0.1307,0.03065403
0.00188,0.11319,0.130817,0.03390199
0.00109,0.11316,0.130864,0.0372938
0.00046,0.11316,0.130862,0.03791066
6E-05,0.11317,0.130812,0.0380245
0.00067,0.11319,0.130699,0.03813825
0.00148,0.11325,0.130509,0.04158862
0.00011,0.11325,0.130422,0.04705114
0.00012,0.11325,0.130328,0.05885468
0.00001,0.11326,0.130255,0.06306768
0.00001,0.11327,0.130176,0.07435077
0.00118,0.11332,0.130055,0.07834413
0.00048,0.11334,0.130019,0.08368028
0.00036,0.11336,0.129992,0.08485626
0.00016,0.11337,0.12998,0.08545093
5E-05,0.11338,0.129975,0.08472914
0.00014,0.11337,0.129972,0.08323511
0.00086,0.11334,0.12999,0.08320029
0.00194,0.11328,0.129999,0.08299426
0.0019,0.11323,0.129964,0.08218032
0.00045,0.11329,0.129851,0.07864298
5E-05,0.11333,0.129762,0.07784646
3E-05,0.11338,0.129672,0.07548618
0.00022,0.11342,0.12959,0.07456055
0.00021,0.11347,0.129503,0.07305227
0.00017,0.11352,0.129427,0.07232663
0.00072,0.11358,0.129374,0.0709048
0.00132,0.11367,0.129315,0.07034597
0.00131,0.11374,0.129275,0.06907985
0.00139,0.11382,0.129237,0.06857956
0.00057,0.11385,0.12922,0.06770699
0.00014,0.11386,0.129201,0.06766454
0.00102,0.11385,0.12917,0.06764242
0.00305,0.11382,0.129079,0.06759022
0.00187,0.11382,0.128993,0.06791657
0.00111,0.11386,0.128877,0.06900725
0.00057,0.11396,0.128763,0.07306621
0.00134,0.11411,0.128618,0.07589847
0.00038,0.11419,0.128462,0.08283295
0.00013,0.1143,0.128316,0.08677223
0.00032,0.11441,0.128157,0.0968839
0.00112,0.1145,0.128083,0.10204758
0.00135,0.11457,0.128018,0.11342387
0.00183,0.11466,0.127963,0.11958487
0.00075,0.1147,0.127939,0.13269611
0.00084,0.11474,0.127903,0.13880492
3E-05,0.11475,0.127888,0.1514835
0.00091,0.11476,0.127826,0.15800855
0.0021,0.1148,0.127684,0.17211974
0.00264,0.11485,0.127475,0.1779259
0.00034,0.11494,0.127339,0.18694424
0.00141,0.1151,0.127138,0.18721014
0.00072,0.11524,0.126836,0.1887926
0.00048,0.11534,0.126651,0.1951273
0.0003,0.11542,0.126472,0.20751936
0.00052,0.11551,0.12621,0.21158061
0.00104,0.11558,0.126085,0.22037089
0.00155,0.11565,0.126008,0.22338587
0.00162,0.11572,0.125939,0.22802564
0.0007,0.11575,0.125908,0.2296592
0.00023,0.11576,0.125897,0.23156542
6E-05,0.11576,0.125882,0.23185481
0.00025,0.11576,0.12585,0.23118995
0.00123,0.11576,0.125718,0.23026363
0.0014,0.11577,0.125549,0.22767766
0.00121,0.11581,0.125253,0.22550757
0.00067,0.11587,0.12485,0.22071899
0.00189,0.11596,0.124547,0.21829408
0.00059,0.11602,0.124248,0.21075064
0.0006,0.11604,0.123886,0.20678513
0.00024,0.11608,0.12362,0.19917301
0.00023,0.11611,0.123353,0.19506061
0.00122,0.11618,0.123141,0.18479938
0.00126,0.11624,0.123025,0.1799989
0.0004,0.11626,0.12298,0.17079602
0.00043,0.11628,0.122952,0.17026435
0.00023,0.11629,0.122935,0.16711515
1E-05,0.1163,0.122912,0.15705905
0.00054,0.11628,0.122831,0.14809889
0.00239,0.1162,0.122483,0.14171346
0.00232,0.11613,0.122116,0.13471317
0.00057,0.11611,0.121891,0.12904483
0.00007,0.11613,0.121582,0.1203776
0.00021,0.11615,0.121152,0.1166786
0.00154,0.11626,0.120834,0.10966522
0.00108,0.11634,0.120543,0.10633984
0.00058,0.11635,0.120137,0.09928211
0.00009,0.1164,0.119838,0.09639209
0.00081,0.11649,0.11959,0.08985817
0.00102,0.11656,0.11947,0.08724747
0.00127,0.11666,0.119393,0.08232046
0.00045,0.11669,0.119354,0.07927917
0.00025,0.11669,0.119261,0.07480654
0.00185,0.11663,0.118942,0.07273396
0.0019,0.11657,0.118622,0.06843728
0.00238,0.11649,0.118216,0.06664666
0.00093,0.11646,0.11803,0.06306449
0.0007,0.11646,0.117775,0.06271145
0.00072,0.11657,0.117357,0.0623383
3E-05,0.1166,0.117116,0.06137072
0.0003,0.11666,0.116867,0.05598591
0.00029,0.11668,0.116548,0.0534307
3E-05,0.11671,0.116282,0.04954352
4E-05,0.11674,0.116015,0.04642976
0.00091,0.11679,0.115975,0.04137975
0.00091,0.11686,0.115937,0.03883714
0.00109,0.11694,0.115843,0.03373599
0.00027,0.11694,0.115538,0.03119153
0.00005,0.11695,0.11529,0.02558756
0.00005,0.11697,0.115041,0.02313375
0.00007,0.11697,0.114789,0.01827365
0.00036,0.11695,0.114548,0.01507235
0.0009,0.11689,0.11432,0.01002934
0.00089,0.11683,0.11409,0.0075488
0.00036,0.1168,0.113842,0.00199868
0.00118,0.11687,0.113596,0
0.00087,0.11691,0.113357,0
0.00027,0.11689,0.113068,0
5E-05,0.11687,0.112824,0
0.00043,0.11688,0.112565,0
0.00012,0.11687,0.112314,0
0.0001,0.11686,0.112062,0
0.00086,0.11692,0.11199,0
0.00094,0.11697,0.111938,0
0.00091,0.11703,0.111886,0
0.00056,0.11707,0.111745,0
0.00039,0.11703,0.111405,0
1E-04,0.11701,0.111139,0
2E-05,0.117,0.110901,0
0.00029,0.11701,0.110657,0
0.00078,0.11695,0.110439,0
0.00082,0.11688,0.110222,0
0.0008,0.11683,0.110004,0
0.00069,0.11678,0.109781,0
0.00005,0.11678,0.109542,0
0.00034,0.1168,0.109294,0
0.00002,0.11681,0.109053,0
0.00006,0.11682,0.108839,0
0.00027,0.11686,0.10862,0
0.00015,0.11686,0.10835,0
0.00005,0.11688,0.108105,0
0.00006,0.1169,0.10786,0
0.00056,0.11695,0.10773,0
0.00032,0.11699,0.107607,0
0.00074,0.11698,0.107184,0
0.00005,0.11702,0.106981,0
0.00014,0.11706,0.106727,0
0.00026,0.11709,0.106444,0
0.00007,0.11712,0.106213,0
0.00009,0.11717,0.105979,0
0.00009,0.11722,0.105745,0
0.00027,0.11725,0.105465,0
0.00011,0.11728,0.105236,0
0.00029,0.11731,0.105009,0
0.0007,0.1173,0.104789,0
0.00088,0.11728,0.104512,0
0.0005,0.11729,0.104289,0
0.00037,0.11736,0.104049,0
0.00052,0.11746,0.103807,0
0.00032,0.1175,0.103514,0
0.00053,0.11755,0.103486,0
0.0009,0.11763,0.103447,0
0.00042,0.11768,0.10333,0.02665423
0.00031,0.11773,0.102985,0.03989796
0.00007,0.11778,0.102752,0.07220246
0.00006,0.11783,0.102518,0.07904689
0.00013,0.11788,0.10222,0.07957989
6E-05,0.11794,0.101979,0.08091043
0.00006,0.11798,0.101738,0.1075025
0.00006,0.11804,0.101495,0.1228639
0.00017,0.11808,0.101202,0.14415648
1E-05,0.11813,0.100963,0.15331505
0.00018,0.11819,0.100716,0.16756014
0.0002,0.11825,0.100469,0.17349484
0.0002,0.11829,0.100167,0.18333282
0.00003,0.11834,0.099921,0.1864222
0.00079,0.11838,0.099452,0.19105001
0.00053,0.1184,0.099158,0.19205087
0.00085,0.1185,0.098928,0.19179637
0.00117,0.11858,0.098852,0.19062069
0.00111,0.1187,0.097862,0.18605626
0.00036,0.11876,0.097607,0.18327566
0.00019,0.11888,0.097001,0.17440471
0.00018,0.11894,0.096733,0.16945351
0.00037,0.11904,0.096191,0.15823602
0.00021,0.11909,0.095917,0.15193661
0.0004,0.11919,0.095365,0.14761137
0.00021,0.11924,0.095085,0.14746531
0.00041,0.11933,0.094521,0.14318448
0.00022,0.11938,0.094235,0.13351372
0.00027,0.11941,0.094024,0.11476178
9E-05,0.11942,0.094001,0.10552568
0.00217,0.11957,0.093761,0.08505512
0.00024,0.11959,0.093305,0.07420095
0.00081,0.1197,0.092668,0.05244802
0.00027,0.11972,0.092442,0.04259323
0.00061,0.1198,0.091855,0.02885333
0.00034,0.11985,0.091577,0.02491993
0.00034,0.11988,0.091298,0.02573088
0.00034,0.11993,0.091016,0.02688399
0.00034,0.11997,0.090732,0.02693861
0.00033,0.12,0.090447,0.02699254
0.00036,0.12004,0.090185,0.02725214
0.00036,0.12009,0.089921,0.02833979
2E-05,0.1201,0.089637,0.0300593
8E-05,0.12011,0.089393,0.02935491
0.00027,0.12011,0.089168,0.02703263
0.00027,0.1201,0.088944,0.02269592
6E-05,0.12011,0.088699,0.01464238
0.00091,0.1202,0.088347,0.00681506
0.00107,0.12028,0.088165,0
0.00057,0.12033,0.088068,0
0.00058,0.12039,0.087986,0
0.00083,0.12047,0.087872,0
0.00072,0.12054,0.087774,0
0.00067,0.12061,0.087663,0
0.00057,0.12068,0.087485,0
0.00027,0.12074,0.087106,0
0.00018,0.12079,0.086774,0
